year,fed,best_name,best_rating,num_players
1975,IND,"Hassan,M. ",2380,3
1976,IND,"Parameswaren,T.N. ",2310,4
1977,IND,"Aaron,M. ",2295,3
1978,IND,"Thipsay,P. ",2360,4
1979,IND,"Thipsay,P. ",2360,12
1980,IND,"Thipsay,P. ",2360,12
1981,IND,"Aaron,M. ",2415,19
1982,IND,"Thipsay,P. ",2415,29
1983,IND,Ravisekhar  ,2405,36
1984,IND,"Barua,D. ",2460,45
1985,IND,"Thipsay,P. ",2470,55
1986,IND,"Thipsay,P. ",2485,59
1987,IND,"Anand,V. ",2500,66
1988,IND,"Anand,V. ",2520,79
1989,IND,"Anand,V. ",2515,87
1990,IND,"Anand,V. ",2555,112
1991,IND,"Anand,Viswanathan  ",2635,108
1992,IND,"Anand,Viswanathan  ",2670,134
1993,IND,"Anand,Viswanathan  ",2710,171
1994,IND,"Anand,Viswanathan  ",2715,203
1995,IND,"Anand,Viswanathan  ",2715,235
1996,IND,"Anand,Viswanathan  ",2725,322
1997,IND,"Anand,Viswanathan  ",2765,348
1998,IND,"Anand,Viswanathan  ",2770,408
1999,IND,"Anand, Viswanathan  ",2784,575
2000,IND,"Anand, Viswanathan  ",2769,700
2001,IND,"Anand, Viswanathan",2790,791
2002,IND,"Anand, Viswanathan",2757,645
2003,IND,"Anand, Viswanathan",2753,1119
2004,IND,"Anand, Viswanathan",2766,1507
2005,IND,"Anand, Viswanathan",2786,1863
2006,IND,undefined,2792,2207
2007,IND,"Anand, Viswanathan",2779,2740
2008,IND,"Anand, Viswanathan",2799,3341
2009,IND,"Anand, Viswanathan",2791,3936
2010,IND,"Anand, Viswanathan",2790,4867
2011,IND,"Anand, Viswanathan",2810,6234
2012,IND,"Anand, Viswanathan",2799,7954
2013,IND,"Anand, Viswanathan",2772,9529
2014,IND,"Anand, Viswanathan",2773,12098
2015,IND,"Anand, Viswanathan",2797,16722
2016,IND,"Anand, Viswanathan",2784,20123
2017,IND,"Anand, Viswanathan",2786,23660
2018,IND,"Anand, Viswanathan",2767,26929
2019,IND,"Anand, Viswanathan",2773,30013
2020,IND,"Anand, Viswanathan",2758,32730
1975,USA,"Fischer,R. ",2780,52
1976,USA,"Browne,W.S. ",2585,67
1977,USA,"Byrne,R. ",2580,80
1978,USA,"Kavalek,L. ",2570,99
1979,USA,"Kavalek,L. ",2590,127
1980,USA,"Kavalek,L. ",2600,168
1981,USA,"Alburt,L.O. ",2575,201
1982,USA,"Kavalek,L. ",2590,236
1983,USA,"Seirawan,Y. ",2600,246
1984,USA,"Browne,W.S. ",2585,261
1985,USA,"Dzindzichashvili,R. ",2570,302
1986,USA,"Seirawan,Y. ",2605,297
1987,USA,"Seirawan,Y. ",2595,325
1988,USA,"Gulko,B. ",2595,334
1989,USA,"Gulko,B. ",2610,354
1990,USA,"Gulko,B.F. ",2610,384
1991,USA,"Fischer, Robert J  ",2780,501
1992,USA,"Fischer, Robert J  ",2780,530
1993,USA,"Fischer, Robert J  ",2780,596
1994,USA,"Fischer, Robert J  ",2780,655
1995,USA,"Fischer, Robert J  ",2780,716
1996,USA,"Fischer, Robert J  ",2780,767
1997,USA,"Fischer, Robert J  ",2780,855
1998,USA,"Kamsky,Gata  ",2720,610
1999,USA,"Fischer, Robert J  ",2780,1012
2000,USA,"Fischer, Robert J  ",2780,1073
2001,USA,"Fischer, Robert J",2780,1111
2002,USA,"Seirawan, Yasser",2644,589
2003,USA,"Fischer, Robert J",2780,1267
2004,USA,"Fischer, Robert J",2780,1366
2005,USA,"Fischer, Robert J",2780,1463
2006,USA,undefined,2780,1584
2007,USA,"Fischer, Robert J",2780,1694
2008,USA,"Kamsky, Gata",2726,1816
2009,USA,"Kamsky, Gata",2725,1969
2010,USA,"Nakamura, Hikaru",2708,2140
2011,USA,"Nakamura, Hikaru",2751,2390
2012,USA,"Nakamura, Hikaru",2759,2692
2013,USA,"Nakamura, Hikaru",2769,2997
2014,USA,"Nakamura, Hikaru",2789,3312
2015,USA,"Nakamura, Hikaru",2776,3713
2016,USA,"Caruana, Fabiano",2787,4258
2017,USA,"Caruana, Fabiano",2827,4855
2018,USA,"Caruana, Fabiano",2811,5399
2019,USA,"Caruana, Fabiano",2828,5915
2020,USA,"Caruana, Fabiano",2822,6580
1975,PHI,"Torre,E. ",2515,19
1976,PHI,"Torre,E. ",2505,19
1977,PHI,"Torre,E. ",2550,25
1978,PHI,"Torre,E. ",2490,25
1979,PHI,"Torre,E. ",2520,26
1980,PHI,"Torre,E. ",2520,28
1981,PHI,"Torre,E. ",2550,33
1982,PHI,"Torre,E. ",2535,37
1983,PHI,"Torre,E. ",2580,31
1984,PHI,"Torre,E. ",2565,28
1985,PHI,"Torre,E. ",2540,27
1986,PHI,"Torre,E. ",2525,25
1987,PHI,"Torre,E. ",2540,30
1988,PHI,"Torre,E. ",2545,33
1989,PHI,"Torre,E. ",2565,37
1990,PHI,"Torre,E. ",2550,37
1991,PHI,"Torre,Eugenio  ",2535,57
1992,PHI,"Torre,Eugenio  ",2555,57
1993,PHI,"Torre,Eugenio  ",2540,72
1994,PHI,"Torre,Eugenio  ",2520,75
1995,PHI,"Torre,Eugenio  ",2535,78
1996,PHI,"Torre,Eugenio  ",2535,79
1997,PHI,"Torre,Eugenio  ",2570,82
1998,PHI,"Torre,Eugenio  ",2560,40
1999,PHI,"Antonio, Rogelio Jr  ",2558,94
2000,PHI,"Torre, Eugenio  ",2557,95
2001,PHI,"Villamayor, Buenaventura",2560,97
2002,PHI,"Torre, Eugenio",2536,48
2003,PHI,"Antonio, Rogelio Jr",2521,101
2004,PHI,"Paragua, Mark",2529,112
2005,PHI,"Paragua, Mark",2586,123
2007,PHI,"Paragua, Mark",2573,153
2008,PHI,"Antonio, Rogelio J",2529,180
2009,PHI,"So, Wesley",2627,242
2010,PHI,"So, Wesley",2656,296
2011,PHI,"So, Wesley",2673,330
2012,PHI,"So, Wesley",2653,350
2014,PHI,"So, Wesley",2719,420
2015,PHI,"Sadorra, Julio Catalino",2575,464
2016,PHI,"Paragua, Mark",2510,612
2017,PHI,"Sadorra, Julio Catalino",2587,678
2018,PHI,"Barbosa, Oliver",2545,772
2019,PHI,"Sadorra, Julio Catalino",2568,906
2020,PHI,"Sadorra, Julio Catalino",2564,1185
1975,MEX,"Campos Lopez,M. ",2340,6
1976,MEX,"Campos,A. ",2345,7
1977,MEX,De Winter  ,2390,13
1978,MEX,"Sisniega,M. ",2455,16
1979,MEX,"Frey,K. ",2405,22
1980,MEX,"Sisniega,M. ",2420,37
1981,MEX,"Sisniega,M. ",2450,50
1982,MEX,"Frey,K. ",2480,73
1983,MEX,"Sisniega,M. ",2455,81
1984,MEX,"Sisniega,M. ",2465,70
1985,MEX,"Sisniega,M. ",2470,75
1986,MEX,"Sisniega,M. ",2470,47
1987,MEX,"Sisniega,M. ",2455,48
1988,MEX,"Espinoza,R. ",2450,68
1989,MEX,"Martin Del Campo,R. ",2455,72
1990,MEX,"Sisniega,M. ",2470,71
1991,MEX,"Sisniega,Marcel  ",2530,95
1992,MEX,"Sisniega,Marcel  ",2525,93
1993,MEX,"Hernandez,Gilberto  ",2505,116
1994,MEX,"Hernandez,Gilberto  ",2485,137
1995,MEX,"Hernandez,Gilberto  ",2510,151
1996,MEX,"Hernandez,Gilberto  ",2555,180
1997,MEX,"Hernandez,Gilberto  ",2540,190
1999,MEX,"Hernandez, Gilberto  ",2558,230
2000,MEX,"Hernandez, Gilberto  ",2560,237
2001,MEX,"Hernandez, Gilberto",2569,265
2002,MEX,"Hernandez, Gilberto",2547,137
2003,MEX,"Hernandez, Gilberto",2542,292
2004,MEX,"Castillo Delgado, Miguel A",1952,1
2005,MEX,"Gonzalez, Zamora Juan Carl",2534,381
2006,MEX,undefined,2534,457
2007,MEX,"Hernandez Guerrero, Gilberto",2551,502
2008,MEX,"Gonzalez Zamora, J",2556,557
2009,MEX,"Gonzalez Zamora, Juan Carlos",2555,598
2010,MEX,"Gonzalez Zamora, Juan Carlos",2552,691
2011,MEX,"Leon Hoyos, Manuel",2565,759
2012,MEX,"Leon Hoyos, Manuel",2569,835
2013,MEX,"Leon Hoyos, Manuel",2591,906
2014,MEX,"Gonzalez Zamora, Juan Carlos",2534,988
2015,MEX,"Gonzalez Zamora, Juan Carlos",2527,1138
2016,MEX,"Hernandez Guerrero, Gilberto",2514,1270
2017,MEX,"Gonzalez Zamora, Juan Carlos",2517,1406
2018,MEX,"Hernandez Guerrero, Gilberto",2532,1588
2019,MEX,"Hernandez Guerrero, Gilberto",2533,1816
2020,MEX,"Hernandez Guerrero, Gilberto",2557,2071
1975,ARG,"Panno,O. ",2545,50
1976,ARG,Quinteros  ,2540,54
1977,ARG,Quinteros  ,2555,59
1978,ARG,"Panno,O. ",2580,56
1979,ARG,"Panno,O. ",2545,71
1980,ARG,"Panno,O. ",2540,68
1981,ARG,Najdorf  ,2530,73
1982,ARG,Najdorf  ,2510,86
1983,ARG,Najdorf  ,2515,100
1984,ARG,"Panno,O. ",2515,135
1985,ARG,Quinteros  ,2530,127
1986,ARG,"Garcia Palermo,C. ",2550,134
1987,ARG,"Campora,D.H. ",2550,130
1988,ARG,"Campora,D.H. ",2540,155
1989,ARG,"Campora,D.H. ",2500,183
1990,ARG,"Campora,D.H. ",2520,217
1991,ARG,"Campora,Daniel.H  ",2515,271
1992,ARG,"Sorokin,Maxim  ",2570,281
1993,ARG,"Campora,Daniel.H  ",2550,328
1994,ARG,"Hoffman,Alejandro  ",2540,385
1995,ARG,"Sorokin,Maxim  ",2535,449
1996,ARG,"Sorokin,Maxim  ",2560,514
1997,ARG,"Ricardi,Pablo  ",2575,555
1998,ARG,"Sorokin,Maxim  ",2575,313
1999,ARG,"Campora, Daniel H. ",2551,665
2000,ARG,"Sorokin, Maxim  ",2572,677
2001,ARG,"Ricardi, Pablo",2554,721
2002,ARG,"Sorokin, Maxim",2551,437
2003,ARG,"Sorokin, Maxim",2560,839
2004,ARG,"Felgaer, Ruben",2572,247
2005,ARG,"Felgaer, Ruben",2588,213
2006,ARG,undefined,2607,228
2007,ARG,"Felgaer, Ruben",2556,705
2008,ARG,"Flores, Diego",2558,1291
2009,ARG,"Flores, Diego",2580,1432
2011,ARG,"Kovalyov, Anton",2629,1793
2012,ARG,"Kovalyov, Anton",2619,1935
2014,ARG,"Peralta, Fernando",2603,2238
2015,ARG,"Peralta, Fernando",2592,2548
2016,ARG,"Mareco, Sandro",2625,3078
2017,ARG,"Mareco, Sandro",2645,3578
2018,ARG,"Mareco, Sandro",2632,4143
2019,ARG,"Mareco, Sandro",2661,4674
2020,ARG,"Mareco, Sandro",2619,5145
1975,ENG,"Keene,R. ",2505,39
1976,ENG,"Miles,A. ",2510,56
1977,ENG,"Miles,A. ",2555,70
1978,ENG,"Miles,A. ",2565,95
1979,ENG,"Miles,A. ",2560,104
1980,ENG,"Stean,M.F. ",2530,120
1981,ENG,"Miles,A. ",2590,135
1982,ENG,"Nun,Ji. ",2590,141
1983,ENG,"Nun,Ji. ",2570,143
1984,ENG,"Nun,Ji. ",2600,124
1985,ENG,"Nun,Ji. ",2615,139
1986,ENG,"Miles,A.J. ",2610,139
1987,ENG,"Short,N.D. ",2615,142
1988,ENG,"Short,N.D. ",2630,161
1989,ENG,"Short,N.D. ",2650,184
1990,ENG,"Short,N.D. ",2635,187
1991,ENG,"Short,Nigel.D  ",2635,286
1992,ENG,"Short,Nigel.D  ",2685,308
1993,ENG,"Short,Nigel.D  ",2655,348
1994,ENG,"Adams,Michael  ",2660,408
1995,ENG,"Adams,Michael  ",2655,471
1996,ENG,"Short,Nigel.D  ",2665,532
1997,ENG,"Short,Nigel.D  ",2690,587
1998,ENG,"Adams,Michael  ",2670,464
1999,ENG,"Adams, Michael  ",2716,686
2000,ENG,"Adams, Michael  ",2715,730
2001,ENG,"Adams, Michael",2746,770
2002,ENG,"Adams, Michael",2742,449
2003,ENG,"Adams, Michael",2734,861
2004,ENG,"Adams, Michael",2720,932
2005,ENG,"Adams, Michael",2741,997
2006,ENG,undefined,2707,1045
2007,ENG,"Adams, Michael",2735,1115
2008,ENG,"Adams, Michael",2726,1223
2009,ENG,"Adams, Michael",2712,1323
2010,ENG,"Short, Nigel D",2696,1435
2011,ENG,"Adams, Michael",2723,1536
2012,ENG,"Adams, Michael",2724,1640
2013,ENG,"Adams, Michael",2725,1812
2014,ENG,"Adams, Michael",2754,2011
2015,ENG,"Adams, Michael",2738,2309
2016,ENG,"Adams, Michael",2744,2567
2017,ENG,"Adams, Michael",2751,2834
2018,ENG,"Adams, Michael",2709,3087
2019,ENG,"Adams, Michael",2701,3356
2020,ENG,"Adams, Michael",2694,3657
1975,POL,"Schmidt,W. ",2465,46
1976,POL,"Schmidt,W. ",2485,51
1977,POL,"Schmidt,W. ",2490,65
1978,POL,"Schmidt,W. ",2505,74
1979,POL,"Kuligowski,A. ",2495,96
1980,POL,"Sznapik,K. ",2460,120
1981,POL,"Schmidt,W. ",2495,149
1982,POL,"Schmidt,W. ",2485,164
1983,POL,"Sznapik,A. ",2460,237
1984,POL,"Schmidt,Wl. ",2485,260
1985,POL,"Schmidt,Wl. ",2475,273
1986,POL,"Schmidt,Wl. ",2450,283
1987,POL,"Schmidt,Wl. ",2470,304
1988,POL,"Kuczynski,R. ",2485,354
1989,POL,"Schmidt,Wl. ",2460,411
1990,POL,"Wojtkiewicz,A. ",2550,468
1991,POL,"Wojtkiewicz,Aleksander  ",2540,505
1992,POL,"Kuczynski,Robert  ",2500,511
1993,POL,"Wojtkiewicz,Aleksander  ",2580,587
1994,POL,"Wojtkiewicz,Aleksander  ",2555,720
1995,POL,"Wojtkiewicz,Aleksander  ",2530,855
1996,POL,"Krasenkow,Michal  ",2610,978
1997,POL,"Krasenkow,Michal  ",2615,1106
1998,POL,"Krasenkow,Michal  ",2660,1015
1999,POL,"Krasenkow, Michal  ",2643,1338
2000,POL,"Krasenkow, Michal  ",2661,1459
2001,POL,"Krasenkow, Michal",2658,1573
2002,POL,"Krasenkow, Michal",2632,1174
2003,POL,"Krasenkow, Michal",2633,1806
2004,POL,"Macieja, Bartlomiej",2653,2049
2005,POL,"Krasenkow, Michal",2672,2358
2006,POL,undefined,2646,2764
2007,POL,"Miton, Kamil",2655,3132
2008,POL,"Krasenkow, Michal",2636,3553
2009,POL,"Socko, Bartosz",2631,3974
2010,POL,"Krasenkow, Michal",2656,4415
2011,POL,"Wojtaszek, Radoslaw",2726,4879
2012,POL,"Wojtaszek, Radoslaw",2706,5416
2013,POL,"Wojtaszek, Radoslaw",2723,5931
2014,POL,"Wojtaszek, Radoslaw",2711,6465
2015,POL,"Wojtaszek, Radoslaw",2744,7192
2016,POL,"Wojtaszek, Radoslaw",2727,7999
2017,POL,"Wojtaszek, Radoslaw",2750,8748
2018,POL,"Wojtaszek, Radoslaw",2735,9373
2019,POL,"Duda, Jan-Krzysztof",2738,9917
2020,POL,"Duda, Jan-Krzysztof",2758,10522
1975,CHI,"Donoso Velasco,P. ",2380,16
1976,CHI,"Frias,V. ",2400,18
1977,CHI,"Donoso Velasco,P. ",2400,17
1978,CHI,"Donoso Velasco,P. ",2405,18
1979,CHI,"Donoso Velasco,P. ",2435,26
1980,CHI,"Donoso Velasco,P. ",2430,26
1981,CHI,"Donoso Velasco,P. ",2425,28
1982,CHI,"Morovic Fernandez,I. ",2445,27
1983,CHI,"Frias,V. ",2440,24
1984,CHI,"Morovic Fernandez,I. ",2435,20
1985,CHI,"Cifuentes Parada,R. ",2455,29
1986,CHI,"Morovic Fernandez,I. ",2495,29
1987,CHI,"Morovic F,I. ",2525,29
1988,CHI,"Morovic F,I. ",2535,36
1989,CHI,"Morovic F,I. ",2540,38
1990,CHI,"Morovic Fernandez,I. ",2535,44
1991,CHI,"Morovic.Fernandez,Ivan  ",2535,58
1992,CHI,"Morovic.Fernandez,Ivan  ",2565,67
1993,CHI,"Morovic.Fernandez,Ivan  ",2575,70
1994,CHI,"Morovic.Fernandez,Ivan  ",2605,112
1995,CHI,"Morovic.Fernandez,Ivan  ",2575,162
1996,CHI,"Morovic.Fernandez,Ivan  ",2575,245
1997,CHI,"Morovic.Fernandez,Ivan  ",2580,267
1998,CHI,"Morovic.Fernandez,Ivan  ",2600,259
1999,CHI,"Morovic Fernandez, Ivan  ",2613,356
2000,CHI,"Morovic Fernandez, Ivan  ",2611,374
2001,CHI,"Campos Moreno, Javier B.",2506,382
2002,CHI,"Morovic Fernandez, Ivan",2554,248
2003,CHI,"Morovic Fernandez, Ivan",2541,473
2004,CHI,"Morovic Fernandez, Ivan",2583,557
2005,CHI,"Vasquez, Rodrigo",2561,601
2006,CHI,undefined,2551,649
2007,CHI,"Morovic Fernandez, Ivan",2551,686
2009,CHI,"Morovic Fernandez, Ivan",2551,729
2010,CHI,"Morovic Fernandez, Ivan",2561,802
2011,CHI,"Morovic Fernandez, Ivan",2582,860
2012,CHI,"Morovic Fernandez, Ivan",2582,916
2013,CHI,"Morovic Fernandez, Ivan",2560,976
2014,CHI,"Morovic Fernandez, Ivan",2568,1048
2015,CHI,"Morovic Fernandez, Ivan",2568,1153
2016,CHI,"Morovic Fernandez, Ivan",2570,1354
2017,CHI,"Vasquez Schroeder, Rodrigo",2554,1622
2018,CHI,"Vasquez Schroeder, Rodrigo",2554,1852
2019,CHI,"Flores Rios, Mauricio",2529,2054
2020,CHI,"Henriquez Villagra, Cristobal",2603,2258
1975,USR,"Karpov,An. ",2705,282
1976,USR,"Karpov,An. ",2695,266
1977,USR,"Karpov,An. ",2690,265
1978,USR,"Karpov,An. ",2725,273
1979,USR,"Karpov,An. ",2705,317
1980,USR,"Karpov,An. ",2725,388
1981,USR,"Karpov,An. ",2690,417
1982,USR,"Karpov,An. ",2720,446
1983,USR,"Karpov,An. ",2710,434
1984,USR,"Kasparov,G. ",2710,366
1985,USR,"Kasparov,G. ",2715,395
1986,USR,"Kasparov,G. ",2720,353
1987,USR,"Kasparov,G. ",2735,360
1988,USR,"Kasparov,G. ",2750,448
1989,USR,"Kasparov,G. ",2775,537
1990,USR,"Kasparov,G. ",2800,695
1975,HUN,"Portisch,L. ",2635,79
1976,HUN,"Portisch,L. ",2625,82
1977,HUN,"Portisch,L. ",2625,86
1978,HUN,"Portisch,L. ",2630,94
1979,HUN,"Portisch,L. ",2640,99
1980,HUN,"Portisch,L. ",2655,139
1981,HUN,"Portisch,L. ",2650,157
1982,HUN,"Portisch,L. ",2630,181
1983,HUN,"Portisch,L. ",2620,188
1984,HUN,"Portisch,L. ",2625,184
1985,HUN,"Portisch,L. ",2635,216
1986,HUN,"Portisch,L. ",2610,269
1987,HUN,"Portisch,L. ",2610,318
1988,HUN,"Ribli,Z. ",2620,365
1989,HUN,"Ribli,Z. ",2625,398
1990,HUN,"Portisch,L. ",2605,445
1991,HUN,"Chernin,Alexander  ",2610,505
1992,HUN,"Chernin,Alexander  ",2620,616
1993,HUN,"Ribli,Zoltan  ",2620,693
1994,HUN,"Chernin,Alexander  ",2630,780
1995,HUN,"Polgar,Judit.",2630,888
1996,HUN,"Polgar,Judit.",2675,988
1997,HUN,"Polgar,Judit.",2645,1109
1998,HUN,"Leko,Peter  ",2670,1038
1999,HUN,"Leko, Peter  ",2694,1391
2000,HUN,"Leko, Peter  ",2725,1495
2001,HUN,"Leko, Peter",2745,1555
2002,HUN,"Leko, Peter",2713,1157
2003,HUN,"Leko, Peter",2736,1746
2004,HUN,"Polgar, Judit (GM)",2728,1929
2005,HUN,"Leko, Peter",2749,2118
2006,HUN,undefined,2740,2344
2007,HUN,"Leko, Peter",2749,2566
2008,HUN,"Leko, Peter",2753,2891
2009,HUN,"Leko, Peter",2751,3277
2010,HUN,"Leko, Peter",2739,3641
2011,HUN,"Almasi, Zoltan",2719,3954
2012,HUN,"Leko, Peter",2720,4216
2013,HUN,"Leko, Peter",2735,4496
2014,HUN,"Leko, Peter",2730,4779
2015,HUN,"Rapport, Richard",2716,5012
2016,HUN,"Rapport, Richard",2721,5415
2017,HUN,"Rapport, Richard",2702,5734
2018,HUN,"Rapport, Richard",2700,5989
2019,HUN,"Rapport, Richard",2731,6202
2020,HUN,"Rapport, Richard",2758,6376
1975,YUG,"Ljubojevic,Lj. ",2615,134
1976,YUG,"Ljubojevic,Lj. ",2620,174
1977,YUG,"Ljubojevic,Lj. ",2615,189
1978,YUG,"Ljubojevic,Lj. ",2605,202
1979,YUG,"Ljubojevic,Lj. ",2590,255
1980,YUG,"Ljubojevic,Lj. ",2590,308
1981,YUG,"Ljubojevic,Lj. ",2605,358
1982,YUG,"Ljubojevic,Lj. ",2600,445
1983,YUG,"Ljubojevic,Lj. ",2645,522
1984,YUG,"Ljubojevic,Lj. ",2635,567
1985,YUG,"Ljubojevic,Lj. ",2595,615
1986,YUG,"Ljubojevic,Lj. ",2605,669
1987,YUG,"Ljubojevic,Lj. ",2620,704
1988,YUG,"Nikolic,Pr. ",2630,847
1989,YUG,"Nikolic,Pr. ",2605,953
1990,YUG,"Ljubojevic,Lj. ",2625,1047
1991,YUG,"Ljubojevic,Ljubomir  ",2590,777
1992,YUG,"Ljubojevic,Ljubomir  ",2610,800
1993,YUG,"Ljubojevic,Ljubomir  ",2605,927
1994,YUG,"Ljubojevic,Ljubomir  ",2600,1007
1995,YUG,"Ljubojevic,Ljubomir  ",2580,1096
1996,YUG,"Ljubojevic,Ljubomir  ",2600,1230
1997,YUG,"Ljubojevic,Ljubomir  ",2570,1378
1998,YUG,"Ilincic,Zlatko  ",2565,1202
1999,YUG,"Markovic, Miroslav  ",2587,1658
2000,YUG,"Markovic, Miroslav  ",2586,1683
2001,YUG,"Ljubojevic, Ljubomir",2566,1802
2002,YUG,"Kovacevic, Aleksandar",2549,1268
2003,YUG,"Damljanovic, Branko",2587,1928
1975,COL,"Cuartas,C. ",2405,15
1976,COL,"Cuartas,C. ",2425,18
1977,COL,"Gonzales,J.A. ",2450,20
1978,COL,"Castro,O. ",2425,25
1979,COL,"Castro,O. ",2430,26
1980,COL,"Garcia,Gild. ",2440,30
1981,COL,"Garcia,Gild. ",2440,35
1982,COL,"Cuartas,C. ",2435,43
1983,COL,"Zapata,A. ",2425,42
1984,COL,"Zapata,A. ",2470,36
1985,COL,"Zapata,A. ",2535,34
1986,COL,"Zapata,A. ",2515,22
1987,COL,"Zapata,A. ",2505,29
1988,COL,"Zapata,A. ",2500,31
1989,COL,"Zapata,A. ",2490,34
1990,COL,"Zapata,A. ",2480,38
1991,COL,"Zapata,Alonso  ",2530,60
1992,COL,"Zapata,Alonso  ",2515,64
1993,COL,"Zapata,Alonso  ",2580,69
1994,COL,"Zapata,Alonso  ",2550,74
1995,COL,"Zapata,Alonso  ",2535,79
1996,COL,"Garcia,Gildardo  ",2525,82
1997,COL,"Zapata,Alonso  ",2515,86
1998,COL,"Garcia,Gildardo  ",2505,66
1999,COL,"Zapata, Alonso  ",2454,103
2000,COL,"Zapata, Alonso  ",2457,104
2001,COL,"Zapata, Alonso",2485,119
2002,COL,"Zapata, Alonso",2541,94
2003,COL,"Zapata, Alonso",2566,147
2004,COL,"Cabrera, Alexis",2534,163
2005,COL,"Zapata, Alonso",2504,197
2006,COL,undefined,2501,208
2007,COL,"Cabrera, Alexis",2514,241
2008,COL,"Cuartas, Jaime Ale",2496,400
2009,COL,"Zapata, Alonso",2515,573
2010,COL,"Cuartas, Jaime Alexander",2548,714
2011,COL,"Delgado Ramirez, Neuris",2609,857
2012,COL,"Delgado Ramirez, Neuris",2575,1088
2013,COL,"Delgado Ramirez, Neuris",2574,1248
2014,COL,"Zapata, Alonso",2500,1369
2015,COL,"Escobar Forero, Alder",2511,1530
2016,COL,"Escobar Forero, Alder",2517,1800
2017,COL,"Escobar Forero, Alder",2493,2037
2018,COL,"Cuartas, Jaime Alexander",2503,2294
2019,COL,"Cuartas, Jaime Alexander",2516,2552
2020,COL,"Gallego Alcaraz, Andres Felipe",2512,2820
1975,PAK,"Farooqui,Z. ",2350,4
1976,PAK,"Farooqui,Z. ",2325,5
1977,PAK,"Farooqui,Z. ",2325,5
1978,PAK,"Farooqui,Z. ",2335,2
1979,PAK,"Farooqui,Z. ",2325,5
1980,PAK,"Farooqui,Z. ",2330,2
1981,PAK,"Farooqui,Z. ",2280,6
1982,PAK,"Mirza,Sh. ",2295,6
1983,PAK,"Mirza,Sh. ",2290,9
1984,PAK,"Mirza,Sh. ",2290,7
1985,PAK,"Umer Khan,M. ",2375,15
1986,PAK,"Khan,Mohan.O. ",2375,16
1987,PAK,"Khan,Mohd.I. ",2375,15
1988,PAK,"Lodhi,M. ",2400,17
1989,PAK,"Lodhi,M. ",2400,19
1990,PAK,"Lodhi,M. ",2425,19
1991,PAK,"Lodhi,Mahmood  ",2415,24
1992,PAK,"Lodhi,Mahmood  ",2425,25
1993,PAK,"Lodhi,Mahmood  ",2430,27
1994,PAK,"Lodhi,Mahmood  ",2475,27
1995,PAK,"Lodhi,Mahmood  ",2420,27
1996,PAK,"Lodhi,Mahmood  ",2350,27
1997,PAK,"Lodhi,Mahmood  ",2415,27
1998,PAK,"Lodhi,Mahmood  ",2425,3
1999,PAK,"Lodhi, Mahmood  ",2417,28
2000,PAK,"Lodhi, Mahmood  ",2429,28
2001,PAK,"Lodhi, Mahmood",2417,28
2002,PAK,"Lodhi, Mahmood",2395,6
2003,PAK,"Lodhi, Mahmood",2395,28
2004,PAK,"Lodhi, Mahmood",2395,28
2005,PAK,"Lodhi, Mahmood",2366,28
2006,PAK,undefined,2355,29
2007,PAK,"Lodhi, Mahmood",2367,29
2008,PAK,"Lodhi, Mahmood",2397,33
2009,PAK,"Lodhi, Mahmood",2377,34
2014,PAK,"Lodhi, Mahmood",2358,40
2015,PAK,"Syed Ahmad, Ali",2354,47
2016,PAK,"Syed Ahmad, Ali",2343,67
2017,PAK,"Lodhi, Mahmood",2344,83
2018,PAK,"Lodhi, Mahmood",2347,93
2019,PAK,"Lodhi, Mahmood",2350,120
2020,PAK,"Lodhi, Mahmood",2334,139
1975,FIN,"Westerinen,H.M.J. ",2475,14
1976,FIN,"Westerinen,H.M.J. ",2485,11
1977,FIN,Poutiainen  ,2430,19
1978,FIN,"Westerinen,H.M.J. ",2450,21
1979,FIN,"Westerinen,H.M.J. ",2465,23
1980,FIN,"Westerinen,H.M.J. ",2470,31
1981,FIN,Rantanen  ,2460,34
1982,FIN,"Westerinen,H.M.J. ",2440,32
1983,FIN,Rantanen  ,2435,37
1984,FIN,"Yrjola,J. ",2515,34
1985,FIN,"Yrjola,J. ",2500,35
1986,FIN,"Yrjola,J. ",2440,38
1987,FIN,"Yrjola,J. ",2415,41
1988,FIN,"Yrjola,J. ",2455,45
1989,FIN,"Yrjola,J. ",2430,54
1990,FIN,"Yrjola,J. ",2495,65
1991,FIN,"Yrjola,Jouni  ",2505,80
1992,FIN,"Yrjola,Jouni  ",2485,87
1993,FIN,"Yrjola,Jouni  ",2460,94
1994,FIN,"Yrjola,Jouni  ",2440,103
1995,FIN,"Yrjola,Jouni  ",2440,124
1996,FIN,"Yrjola,Jouni  ",2460,145
1997,FIN,"Yrjola,Jouni  ",2435,166
1998,FIN,"Yrjola,Jouni  ",2425,160
1999,FIN,"Salmensuu, Olli  ",2449,206
2000,FIN,"Kallio, Heikki  ",2452,225
2001,FIN,"Karttunen, Mika",2468,234
2002,FIN,"Kallio, Heikki",2522,203
2003,FIN,"Kallio, Heikki",2474,285
2004,FIN,"Nyback, Tomi",2546,321
2005,FIN,"Nyback, Tomi",2554,355
2006,FIN,undefined,2562,386
2007,FIN,"Nyback, Tomi",2604,405
2008,FIN,"Nyback, Tomi",2579,442
2009,FIN,"Nyback, Tomi",2644,477
2010,FIN,"Nyback, Tomi",2643,512
2011,FIN,"Nyback, Tomi",2656,555
